国家,国家英文,获奖选手,大项项目,小项项目,奖牌类型,获奖时间
挪威,Norway(NOR),韦特勒·肖斯塔·克里斯蒂安森,冬季两项,男子15公里集体出发,铜牌,02-18
挪威,Norway(NOR),约翰内斯·廷内斯·伯厄,冬季两项,男子15公里集体出发,金牌,02-18
挪威,Norway(NOR),马尔特·奥斯堡,冬季两项,女子12.5公里集体出发,铜牌,02-18
挪威,Norway(NOR),泰里尔·埃克霍夫,冬季两项,女子12.5公里集体出发,银牌,02-18
挪威,Norway(NOR),斯图拉·霍尔姆·莱格雷德/塔尔耶伊·伯厄/约翰内斯·廷内斯·伯厄/韦特勒·肖斯塔·克里斯蒂安森,冬季两项,男子4×7.5公里接力,金牌,02-15
挪威,Norway(NOR),塔尔耶伊·伯厄,冬季两项,男子12.5公里追逐,银牌,02-13
挪威,Norway(NOR),泰里尔·埃克霍夫,冬季两项,女子10公里追逐,铜牌,02-13
挪威,Norway(NOR),马尔特·奥斯堡,冬季两项,女子10公里追逐,金牌,02-13
挪威,Norway(NOR),塔尔耶伊·伯厄,冬季两项,男子10公里短距离,铜牌,02-12
挪威,Norway(NOR),约翰内斯·廷内斯·伯厄,冬季两项,男子10公里短距离,金牌,02-12
挪威,Norway(NOR),马尔特·奥斯堡,冬季两项,女子7.5公里短距离,金牌,02-11
挪威,Norway(NOR),约翰内斯·廷内斯·伯厄,冬季两项,男子20公里个人,铜牌,02-08
挪威,Norway(NOR),马尔特·奥斯堡,冬季两项,女子15公里个人,铜牌,02-07
挪威,Norway(NOR),马尔特·奥斯堡/泰里尔·埃克霍夫/塔尔耶伊·伯厄/约翰内斯·廷内斯·伯厄,冬季两项,4×6公里混合接力,金牌,02-05
挪威,Norway(NOR),特蕾丝·约海于格,越野滑雪,女子30公里集体出发,金牌,02-20
挪威,Norway(NOR),西蒙·赫格斯塔德·克吕格尔,越野滑雪,男子50公里集体出发,铜牌,02-19
挪威,Norway(NOR),埃里克·瓦尔内斯/约翰内斯·赫斯弗洛特·克莱博,越野滑雪,男子团体短距离,金牌,02-16
挪威,Norway(NOR),埃米尔·艾弗森/帕尔·戈尔贝格/汉斯克里斯特·霍尔德/约翰内斯·赫斯弗洛特·克莱博,越野滑雪,男子4×10公里接力,银牌,02-13
挪威,Norway(NOR),约翰内斯·赫斯弗洛特·克莱博,越野滑雪,男子15公里,铜牌,02-11
挪威,Norway(NOR),特蕾丝·约海于格,越野滑雪,女子10公里,金牌,02-10
挪威,Norway(NOR),约翰内斯·赫斯弗洛特·克莱博,越野滑雪,男子个人短距离,金牌,02-08
挪威,Norway(NOR),特蕾丝·约海于格,越野滑雪,女子双追逐,金牌,02-05
挪威,Norway(NOR),米娜·菲尔斯特·霍尔特曼/泰娅·路易丝·斯特耶内松/玛丽亚·特蕾丝·特维贝格/蒂蒙·海于甘/法比安·维尔肯斯·索尔海姆/拉斯穆斯·温丁斯塔,高山滑雪,混合团体,铜牌,02-20
挪威,Norway(NOR),塞巴斯蒂安·福斯—索莱沃格,高山滑雪,男子回转,铜牌,02-16
挪威,Norway(NOR),亚历山大·奥莫特·基尔德,高山滑雪,男子全能,银牌,02-10
挪威,Norway(NOR),亚历山大·奥莫特·基尔德,高山滑雪,男子超级大回转,铜牌,02-08
挪威,Norway(NOR),约根·格拉巴克/延斯·卢拉斯·奥夫特布罗/埃斯彭·比约恩斯塔/埃斯佩·安德森,北欧两项,男子团体大跳台+4×5公里越野滑雪,金牌,02-17
挪威,Norway(NOR),延斯·卢拉斯·奥夫特布罗,北欧两项,男子个人大跳台+10公里越野滑雪,银牌,02-15
挪威,Norway(NOR),约根·格拉巴克,北欧两项,男子个人大跳台+10公里越野滑雪,金牌,02-15
挪威,Norway(NOR),约根·格拉巴克,北欧两项,男子个人标准台+10公里越野滑雪,银牌,02-09
挪威,Norway(NOR),哈瓦尔·霍尔默菲尤尔·洛伦森,速度滑冰,男子1000米,铜牌,02-18
挪威,Norway(NOR),哈尔盖·恩格布罗滕/佩德·孔斯海于格/斯韦勒·伦德·彼得森,速度滑冰,男子团体追逐,金牌,02-15
挪威,Norway(NOR),哈尔盖·恩格布罗滕,速度滑冰,男子5000米,铜牌,02-06
挪威,Norway(NOR),克丽斯廷·斯卡斯连/芒努斯·内德雷戈滕,冰壶,混合双人冰壶,银牌,02-08
挪威,Norway(NOR),马里乌斯·林德维克,跳台滑雪,男子个人大跳台,金牌,02-12
挪威,Norway(NOR),伯克·鲁德,自由式滑雪,男子大跳台,金牌,02-09
挪威,Norway(NOR),蒙斯·勒伊斯韦兰,单板滑雪,男子大跳台,银牌,02-15
德国,Germany(GER),弗朗西斯科·弗里德里希/托尔斯滕·马吉斯/坎迪·鲍尔/亚历山大·许勒尔,雪车,四人雪车,金牌,02-20
德国,Germany(GER),约翰内斯·洛赫纳/弗洛里安·鲍尔/克里斯托弗·韦伯/克里斯蒂安·拉斯普,雪车,四人雪车,银牌,02-20
德国,Germany(GER),玛丽亚马·雅曼卡/亚历山德拉·布格哈特,雪车,女子双人,银牌,02-19
德国,Germany(GER),劳拉·诺尔特/德博拉·莱维,雪车,女子双人,金牌,02-19
德国,Germany(GER),克里斯托夫·哈费尔/马蒂亚斯·佐默,雪车,男子双人,铜牌,02-15
德国,Germany(GER),弗朗西斯科·弗里德里希/托尔斯滕·马吉斯,雪车,男子双人,金牌,02-15
德国,Germany(GER),约翰内斯·洛赫纳/弗洛里安·鲍尔,雪车,男子双人,银牌,02-15
德国,Germany(GER),纳塔莉·盖森贝格尔/约翰内斯·路德维希,雪橇,混合团体接力,金牌,02-10
德国,Germany(GER),托尼·埃格特/萨沙·贝内肯,雪橇,双人雪橇,银牌,02-09
德国,Germany(GER),托比亚斯·文德尔/托比亚斯·阿尔特,雪橇,双人雪橇,金牌,02-09
德国,Germany(GER),安娜·贝赖特尔,雪橇,女子单人,银牌,02-08
德国,Germany(GER),纳塔莉·盖森贝格尔,雪橇,女子单人,金牌,02-08
德国,Germany(GER),约翰内斯·路德维希,雪橇,男子单人,金牌,02-06
德国,Germany(GER),康斯坦丁·施密德/斯特凡·莱赫/马库斯·艾森比希勒/卡尔·盖格尔,跳台滑雪,男子团体,铜牌,02-14
德国,Germany(GER),卡尔·盖格尔,跳台滑雪,男子个人大跳台,铜牌,02-12
德国,Germany(GER),卡塔琳娜·阿尔特豪斯,跳台滑雪,女子个人标准台,银牌,02-05
德国,Germany(GER),汉娜·奈泽,钢架雪车,女子单人,金牌,02-12
德国,Germany(GER),克里斯托弗·格罗特赫尔,钢架雪车,男子单人,金牌,02-11
德国,Germany(GER),阿克塞尔·容克,钢架雪车,男子单人,银牌,02-11
德国,Germany(GER),卡塔琳娜·亨尼希/维多利亚·卡尔,越野滑雪,女子团体短距离,金牌,02-16
德国,Germany(GER),凯瑟琳·绍尔布赖/卡塔琳娜·亨尼希/维多利亚·卡尔/索菲·克雷尔,越野滑雪,女子4×5公里接力,银牌,02-12
德国,Germany(GER),曼努埃尔·费斯特/埃里克·弗伦策尔/文岑茨·盖格尔/尤利安·施密德,北欧两项,男子团体大跳台+4×5公里越野滑雪,银牌,02-17
德国,Germany(GER),文岑茨·盖格尔,北欧两项,男子个人标准台+10公里越野滑雪,金牌,02-09
德国,Germany(GER),瓦妮萨·福格特/瓦妮萨·欣茨/弗兰齐丝卡·普罗伊斯/丹尼丝·赫尔曼,冬季两项,女子4×6公里接力,铜牌,02-16
德国,Germany(GER),丹尼丝·赫尔曼,冬季两项,女子15公里个人,金牌,02-07
德国,Germany(GER),埃玛·艾歇尔/莱娜·迪尔/朱利安·劳赫弗斯/亚历山大·施密德/利努斯·施特拉塞尔,高山滑雪,混合团体,银牌,02-20
德国,Germany(GER),达妮埃拉·迈尔,自由式滑雪,女子障碍追逐,铜牌,02-17
中国,China(CHN),谷爱凌,自由式滑雪,女子U型场地技巧,金牌,02-18
中国,China(CHN),齐广璞,自由式滑雪,男子空中技巧,金牌,02-16
中国,China(CHN),谷爱凌,自由式滑雪,女子坡面障碍技巧,银牌,02-15
中国,China(CHN),徐梦桃,自由式滑雪,女子空中技巧,金牌,02-14
中国,China(CHN),徐梦桃/贾宗洋/齐广璞,自由式滑雪,空中技巧混合团体,银牌,02-10
中国,China(CHN),谷爱凌,自由式滑雪,女子大跳台,金牌,02-08
中国,China(CHN),范可新/韩雨桐/曲春雨/张楚桐/张雨婷,短道速滑,女子3000米接力,铜牌,02-13
中国,China(CHN),任子威,短道速滑,男子1000米,金牌,02-07
中国,China(CHN),李文龙,短道速滑,男子1000米,银牌,02-07
中国,China(CHN),范可新/曲春雨/张雨婷/任子威/武大靖,短道速滑,混合2000米接力,金牌,02-05
中国,China(CHN),苏翊鸣,单板滑雪,男子大跳台,金牌,02-15
中国,China(CHN),苏翊鸣,单板滑雪,男子坡面障碍技巧,银牌,02-07
中国,China(CHN),高亭宇,速度滑冰,男子500米,金牌,02-12
中国,China(CHN),隋文静/韩聪,花样滑冰,双人滑,金牌,02-19
中国,China(CHN),闫文港,钢架雪车,男子单人,铜牌,02-11
美国,United States(USA),亚历克斯·费雷拉,自由式滑雪,男子U型场地技巧,铜牌,02-19
美国,United States(USA),戴维·怀斯,自由式滑雪,男子U型场地技巧,银牌,02-19
美国,United States(USA),亚历山大·霍尔,自由式滑雪,男子坡面障碍技巧,金牌,02-16
美国,United States(USA),尼古拉斯·戈珀,自由式滑雪,男子坡面障碍技巧,银牌,02-16
美国,United States(USA),梅甘·尼克,自由式滑雪,女子空中技巧,铜牌,02-14
美国,United States(USA),阿什莉·考德威尔/克里斯托弗·利利斯/贾斯廷·舍尼菲尔德,自由式滑雪,空中技巧混合团体,金牌,02-10
美国,United States(USA),科尔比·史蒂文森,自由式滑雪,男子大跳台,银牌,02-09
美国,United States(USA),杰琳·考夫,自由式滑雪,女子雪上技巧,银牌,02-06
美国,United States(USA),尼克·鲍姆加特纳/琳赛·雅各贝利斯,单板滑雪,障碍追逐混合团体,金牌,02-12
美国,United States(USA),克洛伊·金,单板滑雪,女子U型场地技巧,金牌,02-10
美国,United States(USA),琳赛·雅各贝利斯,单板滑雪,女子障碍追逐,金牌,02-09
美国,United States(USA),朱莉娅·马里诺,单板滑雪,女子坡面障碍技巧,银牌,02-06
美国,United States(USA),布里塔妮·鲍,速度滑冰,女子1000米,铜牌,02-17
美国,United States(USA),伊桑·塞普伦/凯西·道森/埃默里·莱曼/乔伊·曼蒂亚,速度滑冰,男子团体追逐,铜牌,02-15
美国,United States(USA),埃琳·杰克逊,速度滑冰,女子500米,金牌,02-13
美国,United States(USA),麦迪逊·哈贝尔/扎卡里·多诺霍,花样滑冰,冰上舞蹈,铜牌,02-14
美国,United States(USA),陈巍,花样滑冰,男子单人滑,金牌,02-10
美国,United States(USA),陈巍/周知方/陈楷雯,花样滑冰,团体赛,银牌,02-07
美国,United States(USA),埃拉娜·迈耶斯·泰勒/西尔维娅·霍夫曼,雪车,女子双人,铜牌,02-19
美国,United States(USA),凯莉·汉弗莱斯,雪车,女子单人,金牌,02-14
美国,United States(USA),埃拉娜·迈耶斯·泰勒,雪车,女子单人,银牌,02-14
美国,United States(USA),杰茜·迪金斯,越野滑雪,女子30公里集体出发,银牌,02-20
美国,United States(USA),杰茜·迪金斯,越野滑雪,女子个人短距离,铜牌,02-08
美国,United States(USA),美国女子冰球队,冰球,女子冰球,银牌,02-17
美国,United States(USA),瑞安·科克伦—西格尔,高山滑雪,男子超级大回转,银牌,02-08
瑞典,Sweden(SWE),马娅·达尔奎斯特/约娜·松德林,越野滑雪,女子团体短距离,银牌,02-16
瑞典,Sweden(SWE),马娅·达尔奎斯特/埃芭·安德松/弗丽达·卡尔松/约娜·松德林,越野滑雪,女子4×5公里接力,铜牌,02-12
瑞典,Sweden(SWE),约娜·松德林,越野滑雪,女子个人短距离,金牌,02-08
瑞典,Sweden(SWE),马娅·达尔奎斯特,越野滑雪,女子个人短距离,银牌,02-08
瑞典,Sweden(SWE),桑德拉·内斯隆德,自由式滑雪,女子障碍追逐,金牌,02-17
瑞典,Sweden(SWE),杰斯珀·亚德,自由式滑雪,男子坡面障碍技巧,铜牌,02-16
瑞典,Sweden(SWE),亨里克·哈劳特,自由式滑雪,男子大跳台,铜牌,02-09
瑞典,Sweden(SWE),瓦尔特·瓦尔贝里,自由式滑雪,男子雪上技巧,金牌,02-05
瑞典,Sweden(SWE),马丁·蓬西卢奥马,冬季两项,男子15公里集体出发,银牌,02-18
瑞典,Sweden(SWE),琳·佩尔松/莫娜·布罗尔松/汉娜·厄贝里/埃尔薇拉·厄贝里,冬季两项,女子4×6公里接力,金牌,02-16
瑞典,Sweden(SWE),埃尔薇拉·厄贝里,冬季两项,女子10公里追逐,银牌,02-13
瑞典,Sweden(SWE),埃尔薇拉·厄贝里,冬季两项,女子7.5公里短距离,银牌,02-11
瑞典,Sweden(SWE),瑞典女子冰壶队,冰壶,女子冰壶,铜牌,02-19
瑞典,Sweden(SWE),瑞典男子冰壶队,冰壶,男子冰壶,金牌,02-19
瑞典,Sweden(SWE),阿尔米达·德瓦尔/奥斯卡·埃里克松,冰壶,混合双人冰壶,铜牌,02-08
瑞典,Sweden(SWE),尼尔斯·范德普尔,速度滑冰,男子10000米,金牌,02-11
瑞典,Sweden(SWE),尼尔斯·范德普尔,速度滑冰,男子5000米,金牌,02-06
瑞典,Sweden(SWE),莎拉·赫克托,高山滑雪,女子大回转,金牌,02-07
荷兰,Netherlands(NED),伊雷妮·斯豪滕,速度滑冰,女子集体出发,金牌,02-19
荷兰,Netherlands(NED),托马斯·克罗尔,速度滑冰,男子1000米,金牌,02-18
荷兰,Netherlands(NED),尤塔·莱尔丹,速度滑冰,女子1000米,银牌,02-17
荷兰,Netherlands(NED),安托瓦妮特·德容赫/玛丽克·格勒内沃德/伊雷妮·斯豪滕/伊琳·维斯特,速度滑冰,女子团体追逐,铜牌,02-15
荷兰,Netherlands(NED),帕特里克·罗斯特,速度滑冰,男子10000米,银牌,02-11
荷兰,Netherlands(NED),伊雷妮·斯豪滕,速度滑冰,女子5000米,金牌,02-10
荷兰,Netherlands(NED),托马斯·克罗尔,速度滑冰,男子1500米,银牌,02-08
荷兰,Netherlands(NED),克杰尔德·纽伊斯,速度滑冰,男子1500米,金牌,02-08
荷兰,Netherlands(NED),伊琳·维斯特,速度滑冰,女子1500米,金牌,02-07
荷兰,Netherlands(NED),安托瓦妮特·德容赫,速度滑冰,女子1500米,铜牌,02-07
荷兰,Netherlands(NED),帕特里克·罗斯特,速度滑冰,男子5000米,银牌,02-06
荷兰,Netherlands(NED),伊雷妮·斯豪滕,速度滑冰,女子3000米,金牌,02-05
荷兰,Netherlands(NED),舒尔廷,短道速滑,女子1500米,铜牌,02-16
荷兰,Netherlands(NED),塞尔玛·保茨马/舒尔廷/亚拉·范科克霍夫/桑德拉·贝尔塞伯,短道速滑,女子3000米接力,金牌,02-13
荷兰,Netherlands(NED),舒尔廷,短道速滑,女子1000米,金牌,02-11
荷兰,Netherlands(NED),舒尔廷,短道速滑,女子500米,银牌,02-07
荷兰,Netherlands(NED),金伯利·博斯,钢架雪车,女子单人,铜牌,02-12
奥地利,Austria(AUT),卡塔琳娜·胡贝尔/卡塔琳娜·林斯伯格/卡塔琳娜·特吕佩/斯特凡·布伦施泰纳/米夏埃尔·马特/约翰内斯·施特罗尔茨,高山滑雪,混合团体,金牌,02-20
奥地利,Austria(AUT),约翰内斯·施特罗尔茨,高山滑雪,男子回转,银牌,02-16
奥地利,Austria(AUT),米丽娅姆·普赫纳,高山滑雪,女子超级大回转,银牌,02-11
奥地利,Austria(AUT),约翰内斯·施特罗尔茨,高山滑雪,男子全能,金牌,02-10
奥地利,Austria(AUT),卡塔琳娜·林斯伯格,高山滑雪,女子回转,银牌,02-09
奥地利,Austria(AUT),马蒂亚斯·迈尔,高山滑雪,男子超级大回转,金牌,02-08
奥地利,Austria(AUT),马蒂亚斯·迈尔,高山滑雪,男子滑降,铜牌,02-07
奥地利,Austria(AUT),安娜·加塞尔,单板滑雪,女子大跳台,金牌,02-15
奥地利,Austria(AUT),亚历山德罗·黑默勒,单板滑雪,男子障碍追逐,金牌,02-10
奥地利,Austria(AUT),本亚明·卡尔,单板滑雪,男子平行大回转,金牌,02-08
奥地利,Austria(AUT),达妮埃拉·乌尔宾,单板滑雪,女子平行大回转,银牌,02-08
奥地利,Austria(AUT),马德莱娜·埃格勒/沃尔夫冈·金德尔,雪橇,混合团体接力,银牌,02-10
奥地利,Austria(AUT),托马斯·施托伊/洛伦茨·科勒,雪橇,双人雪橇,铜牌,02-09
奥地利,Austria(AUT),沃尔夫冈·金德尔,雪橇,男子单人,银牌,02-06
奥地利,Austria(AUT),斯特凡·克拉夫特/丹尼尔·胡贝尔/扬·赫尔/曼努埃尔·费特纳,跳台滑雪,男子团体,金牌,02-14
奥地利,Austria(AUT),曼努埃尔·费特纳,跳台滑雪,男子个人标准台,银牌,02-06
奥地利,Austria(AUT),特雷莎·施塔德勒贝尔,越野滑雪,女子双追逐,铜牌,02-05
奥地利,Austria(AUT),卢卡斯·格赖德雷尔,北欧两项,男子个人标准台+10公里越野滑雪,铜牌,02-09
瑞士,Switzerland(SUI),温迪·霍尔德纳,高山滑雪,女子全能,银牌,02-17
瑞士,Switzerland(SUI),米歇尔·吉辛,高山滑雪,女子全能,金牌,02-17
瑞士,Switzerland(SUI),科琳娜··祖特尔,高山滑雪,女子滑降,金牌,02-15
瑞士,Switzerland(SUI),马尔科·奥德马特,高山滑雪,男子大回转,金牌,02-13
